UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,B15,NTL_AV,SDG_OS15MX,E_GR_AV14,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14
Kolkata,India,3.3526344974198325,0.1991182607628771,3.441495263467403,79.29087506751044,1.0703260507235188,4.984530930965394,0.2597990694649663,0.0559803373069952,1218.22070312,9.0710073073,70.48,0.493526524051973,1985.38072324,775.346937158,41.9397274699,2802.66738787
Dhaka,Bangladesh,3.384161385300617,0.1732308540160884,3.459841887502114,143.5127607907903,1.0828320812752703,5.05760592534182,0.2221721559626568,0.0937944435839306,867.489440918,3.1028155787,73.93,0.490158284810147,2401.34972427,803.536000451,27.5834765115,3232.46920123
Karachi,Pakistan,3.4949601122564493,0.0789852358332726,3.500465547469706,68.39256565379185,1.0216875542824355,5.744934014306737,0.0971960998795967,0.2365962871735144,336.809753418,28.533364199,55.27,0.155234871939006,2.8349989941000002,241.608734166,504.039614407,748.483347566
Lahore,Pakistan,3.3839230412032184,0.17342810817683,3.415475437348336,80.07972669006502,1.036975441324283,5.254134109425686,0.1819174929326117,0.132700117581327,333.423248291,11.531812663,65.09,0.26579796222904,112.919171307,746.065252257,94.2937449375,953.278168501
Kabul,Afghanistan,3.498876456767214,0.0755609276458325,3.4989197176842994,101.5145893283328,1.0370125956756049,5.123075756426784,0.2151740350345037,0.1134829756578448,108.66116333,10.943690341,66.15,0.213034025729092,4.7988415255,152.968735901,162.054121256,319.821698683
Tehran,Iran,3.52138994526479,0.0557527075614828,3.522258737752876,80.2990977118769,1.0417582440395932,4.19609476112768,0.2831973439873952,0.1190872770243655,683.019775391,34.802183288,50.58,0.191523846567169,40.7955747853,631.819080869,705.538757243,1378.1534129
Baghdad,Iraq,3.514934771227096,0.0614536855620664,3.5271691970856285,92.06026191022988,1.0305736369838885,5.493422893926672,0.0774163715791138,0.1268207206220567,434.25869751,37.911539022,44.82,0.150352617764307,3.32988325,286.04416397,496.185667787,785.559715007
Dubai,United Arab Emirates,3.4481257947788237,0.1194431167242665,3.415066790914272,98.82961864505766,1.05547841591532,4.232198303526514,0.0448229804506582,0.0571388922617911,288.958007812,69.54524382,100.0,0.139459740660368,0.0,85.0501183635,676.850633762,761.073172459
Yangon,Myanmar,3.5347210314292354,0.0439245345990148,3.538642263272404,90.48440493748836,1.035567855780274,5.572873867903689,0.1317428760768721,0.2034239010382151,188.655914307,10.725887907,64.0,0.48181504546567,324.379293845,186.495622205,10.2742521645,521.149168214
Jeddah,Saudi Arabia,3.343349705076333,0.2066637149407987,3.3741640662450743,113.4574743612128,1.0404358653369563,5.057345765495918,0.0488670950287453,0.1449103821440649,193.925048828,83.984063283,63.89,0.10239704167947,0.0,4.207217237,529.375395985,531.949368321
Riyadh,Saudi Arabia,3.142574550018007,0.3610914375701227,3.1473278117626693,100.73582979692252,1.0266480741661004,5.213834885613528,0.0219459263947915,0.10824667691473,634.669250488,129.59722031,37.53,0.107533157414024,0.0,24.5848792083,985.927988965,1010.51286817
Algiers,Algeria,3.562433002689135,0.0191011506935231,3.5647492907214504,94.37267738446432,1.080614114442786,4.92610574817692,0.1959406713505074,0.1047771367643418,290.158660889,43.36835633,60.09,0.359842022435546,274.407772423,404.694728188,45.5008747502,724.603375362
Cairo,Egypt,3.487038298602975,0.0858923545738038,3.506159973295333,62.95073944873654,1.0271643625858782,5.209594732758558,0.1711853468591607,0.1024588678041317,637.769348145,47.072641261,59.76,0.220934602147158,544.354255878,503.960991372,531.00010954,1579.31535679
